date,open,high,low,close,volume,SP500,GOLD,DXY
2017-01-01,963.6580200195312,1003.0800170898438,958.698974609375,998.3250122070312,147775008.0,,,
2017-01-02,998.6170043945312,1031.3900146484375,996.7020263671875,1021.75,222184992.0,,,
2017-01-03,1021.5999755859375,1044.0799560546875,1021.5999755859375,1043.8399658203125,185168000.0,2257.830078125,1160.4000244140625,103.20999908447266
2017-01-04,1044.4000244140625,1159.4200439453125,1044.4000244140625,1154.72998046875,344945984.0,2270.75,1163.800048828125,102.69999694824219
2017-01-05,1156.72998046875,1191.0999755859375,910.4169921875,1013.3800048828125,510199008.0,2269.0,1179.699951171875,101.5199966430664
2017-01-06,1014.239990234375,1046.81005859375,883.9439697265625,902.2009887695312,351876000.0,2276.97998046875,1171.9000244140625,102.22000122070312
2017-01-07,903.4869995117188,908.5850219726562,823.5560302734375,908.5850219726562,279550016.0,,,
2017-01-08,908.1749877929688,942.7239990234375,887.2490234375,911.198974609375,158715008.0,,,
2017-01-09,913.2440185546875,913.6859741210938,879.8070068359375,902.8280029296875,141876992.0,2268.89990234375,1183.5,101.93000030517578
2017-01-10,902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,115808000.0,2268.89990234375,1184.199951171875,102.01000213623047
2017-01-11,908.114990234375,919.447998046875,762.7650146484375,777.7570190429688,310928992.0,2275.320068359375,1195.5999755859375,101.77999877929688
2017-01-12,775.177978515625,826.2459716796875,755.7559814453125,804.833984375,222326000.0,2270.43994140625,1198.9000244140625,101.3499984741211
2017-01-13,803.7369995117188,829.0009765625,780.0029907226562,823.9840087890625,168968000.0,2274.639892578125,1195.300048828125,101.18000030517578
2017-01-14,825.1420288085938,835.0850219726562,812.4559936523438,818.4119873046875,93063296.0,,,
2017-01-15,818.1420288085938,823.3070068359375,812.8709716796875,821.7979736328125,71013600.0,,,
2017-01-16,821.7830200195312,834.530029296875,820.27099609375,831.5339965820312,82755200.0,,,
2017-01-17,830.9459838867188,910.5609741210938,830.7960205078125,907.93798828125,155095008.0,2267.889892578125,1212.0,100.33000183105469
2017-01-18,909.3729858398438,917.4990234375,858.3040161132812,886.6179809570312,225676992.0,2271.889892578125,1211.300048828125,100.93000030517578
2017-01-19,888.3350219726562,904.614013671875,884.3380126953125,899.072998046875,105625000.0,2263.68994140625,1200.9000244140625,101.1500015258789
2017-01-20,898.1719970703125,899.3980102539062,887.0079956054688,895.0260009765625,86728400.0,2271.31005859375,1204.300048828125,100.73999786376953
2017-01-21,895.5490112304688,927.3670043945312,895.5349731445312,921.7890014648438,111158000.0,,,
